City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,faya-largeau,17.9257,19.1043,29.85,12,0,2.94,TD,1682210988
232,nelson bay,-32.7167,152.15,23.03,71,8,2.24,AU,1682210988
233,shiyan,32.6475,110.7781,4.19,96,100,1.24,CN,1682210988
234,kalmunai,7.4167,81.8167,27.07,84,93,1.77,LK,1682210989
235,salym,60.0625,71.4789,1.19,99,100,1.19,RU,1682210989
236,tolanaro,-25.0319,46.9987,22.04,94,20,0.0,MG,1682210989
237,gero,-8.7039,121.1881,26.77,70,74,1.01,ID,1682210989
238,fale old settlement,-9.3852,-171.2468,28.62,77,100,4.8,TK,1682210989
239,gambela,8.25,34.5833,25.52,64,100,0.78,ET,1682210990
240,tambura,5.6,27.4667,21.01,94,100,2.68,SS,1682210990
241,cisneros,6.5383,-75.0886,19.43,99,100,0.5,CO,1682210990
242,launceston,-41.45,147.1667,16.2,60,12,4.12,AU,1682210767
243,kikwit,-5.041,18.8162,21.3,98,100,0.55,CD,1682210990
244,paphos,34.7667,32.4167,13.88,72,100,2.57,CY,1682210990
245,fort mcmurray,56.7268,-111.381,10.77,31,75,4.63,CA,1682210701
246,colonia,50.9333,6.95,12.2,85,0,1.03,DE,1682210973
247,severo-yeniseyskiy,60.3725,93.0408,-0.95,92,52,1.93,RU,1682210990
248,altay,47.8667,88.1167,3.01,51,48,1.78,CN,1682210990
249,puerto baquerizo moreno,-0.9,-89.6,26.11,76,33,5.36,EC,1682210990
250,kourou,5.1552,-52.6478,24.03,93,100,2.11,GF,1682210981
251,ingeniero jacobacci,-41.3427,-69.5448,11.87,56,0,3.38,AR,1682210991
252,anadyr,64.75,177.4833,-7.72,93,0,4.0,RU,1682210991
253,grandola,38.1772,-8.5668,14.08,90,87,1.39,PT,1682210991
254,camana,-16.6228,-72.7111,21.57,81,2,2.98,PE,1682210991
255,portland,45.5234,-122.6762,20.0,67,100,2.57,US,1682210886
256,pahrump,36.2083,-115.9839,27.19,17,1,2.24,US,1682210991
257,loreto,22.2667,-101.9667,26.01,10,11,11.2,MX,1682210991
258,boa vista,2.8197,-60.6733,24.99,88,75,3.09,BR,1682210991
259,mariehamn,60.0973,19.9348,4.34,87,0,2.06,AX,1682210991
260,ketchikan,55.3422,-131.6461,8.26,93,100,7.2,US,1682210991
261,priargunsk,50.3691,119.1012,3.94,19,0,4.77,RU,1682210991
262,geraldton,-28.7667,114.6,23.23,31,0,7.2,AU,1682210992
263,atar,20.5169,-13.0499,26.87,22,0,4.35,MR,1682210992
264,tsiombe,-25.3,45.4833,19.75,96,1,1.31,MG,1682210992
265,bereeda,11.8704,51.0579,26.61,79,94,4.0,SO,1682210992
266,dahab,28.501,34.5134,25.05,32,100,4.72,EG,1682210992
267,lycksele,64.5954,18.6735,-1.07,93,75,1.03,SE,1682210992
268,kruisfontein,-34.0033,24.7314,12.71,55,100,1.78,ZA,1682210992
269,adrar,20.5022,-10.0711,23.9,23,0,4.45,MR,1682210992
270,flying fish cove,-10.4217,105.6791,27.65,73,8,7.16,CX,1682210992
271,velasco ibarra,-1.05,-79.6167,24.42,87,16,1.09,EC,1682210992
272,cole harbour,44.6724,-63.4751,7.32,74,93,2.24,CA,1682210992
273,dapitan,8.6464,123.4208,29.74,70,28,4.27,PH,1682210992
274,tabas,33.5959,56.9244,28.12,20,100,1.03,IR,1682210993
275,veraval,20.9,70.3667,25.15,79,6,4.95,IN,1682210993
276,merizo village,13.2658,144.6691,29.43,87,100,7.75,GU,1682210993
277,novyy urgal,51.0736,132.5642,4.84,61,100,0.18,RU,1682210993
278,kudahuvadhoo,2.6708,72.8944,28.96,72,100,3.67,MV,1682210993
279,kalabo,-14.97,22.6814,22.92,57,99,0.88,ZM,1682210993
280,curuca,-0.7289,-47.8481,24.07,97,100,2.12,BR,1682210993
281,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.51,GF,1682210993
282,martaban,16.5314,97.6111,28.9,70,13,2.49,MM,1682210993
283,le port,-20.9373,55.2919,24.0,78,100,3.64,RE,1682210994
284,inhambane,-23.865,35.3833,20.71,89,1,3.03,MZ,1682210994
285,shyshaky,49.8817,34.0112,7.55,76,26,2.32,UA,1682210994
286,horta,38.5333,-28.6333,17.23,96,100,8.94,PT,1682210826
287,nemuro,43.3236,145.575,4.56,70,79,2.78,JP,1682210994
288,darwin,-12.4611,130.8418,29.94,51,0,6.17,AU,1682210994
289,rio grande,-32.035,-52.0986,18.06,86,100,3.2,BR,1682210994
290,tiksi,71.6872,128.8694,-6.75,85,47,1.16,RU,1682210994
291,bonthe,7.5264,-12.505,27.19,81,60,2.76,SL,1682210994
292,taulaga,-11.0553,-171.0883,29.15,73,50,5.7,AS,1682210994
293,juliaca,-15.5,-70.1333,6.65,41,11,1.73,PE,1682210994
294,ampanihy,-24.7,44.75,18.67,93,55,2.15,MG,1682210994
295,oriximina,-1.7656,-55.8661,23.44,96,100,1.33,BR,1682210994
296,bel ombre,-4.6167,55.4167,27.91,83,20,2.06,SC,1682210995
297,pacasmayo,-7.4006,-79.5714,25.39,75,100,3.49,PE,1682210882
298,kalemie,-5.9475,29.1947,21.7,89,100,0.67,CD,1682210995
299,kutum,14.2,24.6667,25.09,18,13,3.53,SD,1682210995
300,haiku-pauwela,20.9219,-156.3051,28.01,60,40,8.23,US,1682210995
301,sao joao da barra,-21.6403,-41.0511,22.05,76,38,2.06,BR,1682210995
302,nikolo-berezovka,56.1242,54.1557,4.92,91,3,2.1,RU,1682210995
303,broken hill,-31.95,141.4333,19.78,46,0,5.83,AU,1682210995
304,praia da vitoria,38.7333,-27.0667,18.14,94,75,10.48,PT,1682210996
305,mosjoen,65.836,13.1908,0.23,80,73,0.0,NO,1682210996
306,holualoa,19.6228,-155.9522,26.42,80,100,4.12,US,1682210996
307,kapuskasing,49.4169,-82.4331,2.0,93,100,4.63,CA,1682210996
308,cifteler,39.3831,31.0392,8.85,81,100,1.68,TR,1682210996
309,arkalyk,50.2486,66.9114,9.32,34,100,6.93,KZ,1682210996
310,wuhai,39.6647,106.8122,11.55,46,100,4.27,CN,1682210996
311,remontnoye,46.5614,43.6501,7.28,94,35,4.45,RU,1682210996
312,pandan,14.0453,124.1694,29.23,70,54,1.98,PH,1682210996
313,sao joao dos inhamuns,-6.0,-40.2833,22.48,63,46,2.38,BR,1682210996
314,igarka,67.4667,86.5833,0.35,98,100,7.45,RU,1682210996
315,pravokumskoye,44.7694,44.6472,11.47,71,100,1.92,RU,1682210996
316,namibe,-15.1961,12.1522,24.85,75,42,2.98,AO,1682210996
317,labrador city,52.9463,-66.9114,3.95,60,20,0.0,CA,1682210730
318,nichinan,31.6,131.3667,16.82,60,50,5.64,JP,1682210724
319,batang berjuntai,3.3833,101.4167,29.62,86,79,1.3,MY,1682210997
320,saint joseph,39.7686,-94.8466,6.97,52,100,6.69,US,1682210997
321,mount gambier,-37.8333,140.7667,18.09,60,0,2.04,AU,1682210997
322,egilsstadir,65.2653,-14.3948,-2.05,69,100,2.06,IS,1682210997
323,mandalgovi,45.7625,106.2708,2.24,25,99,3.59,MN,1682210997
324,okha,53.5739,142.9478,-0.53,83,100,7.23,RU,1682210997
325,sarnen,46.8985,8.2507,13.95,86,100,1.54,CH,1682210997
326,naracoorte,-36.9579,140.7383,18.57,59,0,2.4,AU,1682210997
327,queenstown,-31.8976,26.8753,13.12,26,100,1.94,ZA,1682210998
328,villa gesell,-37.2639,-56.973,14.47,76,100,5.98,AR,1682210699
329,afaahiti,-17.75,-149.2833,28.93,80,100,9.82,PF,1682210998
